ScanNumber,SampleNum,Name/Note,XPosition(mm),YPosition(mm),Illumination(optional),Time(sec)(optional)
1,1,E50Silica_01,42,70,Geo_50,120
2,1,E30Silica_01,42,70,Geo_30,120
3,1,E15Silica_01,42,70,Geo_15,120
4,1,E50Silica_02,42,70,Geo_50,120
5,1,E30Silica_02,42,70,Geo_30,120
6,1,E15Silica_02,42,70,Geo_15,120
7,1,E50Silica_03,42,70,Geo_50,120
8,1,E30Silica_03,42,70,Geo_30,120
9,1,E15Silica_03,42,70,Geo_15,120
10,1,E50Silica_04,42,70,Geo_50,120
11,1,E30Silica_04,42,70,Geo_30,120
12,1,E15Silica_04,42,70,Geo_15,120
13,1,E50Silica_05,42,70,Geo_50,120
14,1,E30Silica_05,42,70,Geo_30,120
15,1,E15Silica_05,42,70,Geo_15,120
16,1,E50Silica_06,42,70,Geo_50,120
17,1,E30Silica_06,42,70,Geo_30,120
18,1,E15Silica_06,42,70,Geo_15,120
19,1,E50Silica_07,42,70,Geo_50,120
20,1,E30Silica_07,42,70,Geo_30,120
21,1,E15Silica_07,42,70,Geo_15,120
22,1,E50Silica_08,42,70,Geo_50,120
23,1,E30Silica_08,42,70,Geo_30,120
24,1,E15Silica_08,42,70,Geo_15,120
25,1,E50Silica_09,42,70,Geo_50,120
26,1,E30Silica_09,42,70,Geo_30,120
27,1,E15Silica_09,42,70,Geo_15,120
28,1,E50Silica_10,42,70,Geo_50,120
29,1,E30Silica_10,42,70,Geo_30,120
30,1,E15Silica_10,42,70,Geo_15,120
31,2,E50SiO2Fused_01,42,140,Geo_50,120
32,2,E30SiO2Fused_01,42,140,Geo_30,120
33,2,E15SiO2Fused_01,42,140,Geo_15,120
34,2,E50SiO2Fused_02,42,140,Geo_50,120
35,2,E30SiO2Fused_02,42,140,Geo_30,120
36,2,E15SiO2Fused_02,42,140,Geo_15,120
37,2,E50SiO2Fused_03,42,140,Geo_50,120
38,2,E30SiO2Fused_03,42,140,Geo_30,120
39,2,E15SiO2Fused_03,42,140,Geo_15,120
40,2,E50SiO2Fused_04,42,140,Geo_50,120
41,2,E30SiO2Fused_04,42,140,Geo_30,120
42,2,E15SiO2Fused_04,42,140,Geo_15,120
43,2,E50SiO2Fused_05,42,140,Geo_50,120
44,2,E30SiO2Fused_05,42,140,Geo_30,120
45,2,E15SiO2Fused_05,42,140,Geo_15,120
46,2,E50SiO2Fused_06,42,140,Geo_50,120
47,2,E30SiO2Fused_06,42,140,Geo_30,120
48,2,E15SiO2Fused_06,42,140,Geo_15,120
49,2,E50SiO2Fused_07,42,140,Geo_50,120
50,2,E30SiO2Fused_07,42,140,Geo_30,120
51,2,E15SiO2Fused_07,42,140,Geo_15,120
52,2,E50SiO2Fused_08,42,140,Geo_50,120
53,2,E30SiO2Fused_08,42,140,Geo_30,120
54,2,E15SiO2Fused_08,42,140,Geo_15,120
55,2,E50SiO2Fused_09,42,140,Geo_50,120
56,2,E30SiO2Fused_09,42,140,Geo_30,120
57,2,E15SiO2Fused_09,42,140,Geo_15,120
58,2,E50SiO2Fused_10,42,140,Geo_50,120
59,2,E30SiO2Fused_10,42,140,Geo_30,120
60,2,E15SiO2Fused_10,42,140,Geo_15,120
