ScanNumber,SampleNum,Name/Note,Gerda tray,XPosition(mm),YPosition(mm),Illumination(optional),Time(sec)(optional)
1,1,SampleName_01,A-1-01,42,70,,
2,2,SampleName_02,A-1-02,42,105,,
3,3,SampleName_03,A-1-03,42,140,,
4,4,SampleName_04,A-1-04,42,175,,
5,5,SampleName_05,A-1-05,42,210,,
6,6,SampleName_06,A-1-06,42,245,,
7,7,SampleName_07,A-1-07,77,70,,
8,8,SampleName_08,A-1-08,77,105,,
9,9,SampleName_09,A-1-09,77,140,,
10,10,SampleName_10,A-1-10,77,175,,
11,11,SampleName_11,A-1-11,77,210,,
12,12,SampleName_12,A-1-12,77,245,,
13,13,SampleName_13,A-1-13,112,70,,
14,14,SampleName_14,A-1-14,112,105,,
15,15,SampleName_15,A-1-15,112,140,,
16,16,SampleName_16,A-1-16,112,175,,
17,17,SampleName_17,A-1-17,112,210,,
18,18,SampleName_18,A-1-18,112,245,,
19,19,SampleName_19,A-2-01,152,70,,
20,20,SampleName_20,A-2-02,152,105,,
21,21,SampleName_21,A-2-03,152,140,,
22,22,SampleName_22,A-2-04,152,175,,
23,23,SampleName_23,A-2-05,152,210,,
24,24,SampleName_24,A-2-06,152,245,,
25,25,SampleName_25,A-2-07,187,70,,
26,26,SampleName_26,A-2-08,187,105,,
27,27,SampleName_27,A-2-09,187,140,,
28,28,SampleName_28,A-2-10,187,175,,
29,29,SampleName_29,A-2-11,187,210,,
30,30,SampleName_30,A-2-12,187,245,,
31,31,SampleName_31,A-2-13,222,70,,
32,32,SampleName_32,A-2-14,222,105,,
33,33,SampleName_33,A-2-15,222,140,,
34,34,SampleName_34,A-2-16,222,175,,
35,35,SampleName_35,A-2-17,222,210,,
36,36,SampleName_36,A-2-18,222,245,,
37,37,SampleName_37,A-3-01,262,70,,
38,38,SampleName_38,A-3-02,262,105,,
39,39,SampleName_39,A-3-03,262,140,,
40,40,SampleName_40,A-3-04,262,175,,
41,41,SampleName_41,A-3-05,262,210,,
42,42,SampleName_42,A-3-06,262,245,,
43,43,SampleName_43,A-3-07,297,70,,
44,44,SampleName_44,A-3-08,297,105,,
45,45,SampleName_45,A-3-09,297,140,,
46,46,SampleName_46,A-3-10,297,175,,
47,47,SampleName_47,A-3-11,297,210,,
48,48,SampleName_48,A-3-12,297,245,,
49,49,SampleName_49,A-3-13,332,70,,
50,50,SampleName_50,A-3-14,332,105,,
51,51,SampleName_51,A-3-15,332,140,,
52,52,SampleName_52,A-3-16,332,175,,
53,53,SampleName_53,A-3-17,332,210,,
54,54,SampleName_54,A-3-18,332,245,,
